NU_ANO_CENSO,NO_REGIAO,CO_REGIAO,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,CO_ENTIDADE,NO_ENTIDADE,TP_DEPENDENCIA,TP_LOCALIZACAO,TP_LOCALIZACAO_DIFERENCIADA,IN_AGUA_POTAVEL,IN_AGUA_REDE_PUBLICA,IN_AGUA_POCO_ARTESIANO,IN_AGUA_CACIMBA,IN_AGUA_FONTE_RIO,IN_AGUA_INEXISTENTE,IN_ESGOTO_REDE_PUBLICA,IN_ESGOTO_FOSSA_SEPTICA,IN_ESGOTO_INEXISTENTE,IN_LIXO_SERVICO_COLETA,IN_LIXO_QUEIMA,IN_LIXO_ENTERRA,IN_LIXO_DESTINO_FINAL_PUBLICO,IN_LIXO_DESCARTA_OUTRA_AREA,IN_BANHEIRO,IN_BANHEIRO_EI,IN_BANHEIRO_PNE,IN_BANHEIRO_FUNCIONARIOS,IN_BANHEIRO_CHUVEIRO,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_BRANCA,QT_MAT_BAS_PRETA,QT_MAT_BAS_PARDA,QT_MAT_BAS_AMARELA,QT_MAT_BAS_INDIGENA,QT_MAT_BAS,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_MED
2021,Sudeste,3,MG,31,Piracema,3150604,31035386,EE HERMENEGILDO VILACA,2,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,362,338,24,273,69,330,2,2,700,0,0,103,357,180
2021,Sudeste,3,MG,31,Piracema,3150604,31039918,ESCOLA MUNICIPAL GERALDO FERREIRA DAS CHAGAS,3,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,6,9,5,8,0,2,0,0,15,0,0,15,0,0
2021,Sudeste,3,MG,31,Piracema,3150604,31039926,ESCOLA MUNICIPAL DEIRO ALVES BELO,3,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,87,65,34,67,2,47,2,0,152,0,0,152,0,0
2021,Sudeste,3,MG,31,Piracema,3150604,31039934,ESCOLA MUNICIPAL DOUTOR JOSE ALVES DE ANDRADE,3,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,17,24,6,23,0,11,1,0,41,0,0,41,0,0
2021,Sudeste,3,MG,31,Piracema,3150604,31235938,ESCOLA MUNICIPAL ENI RESENDE COSTA LARA,3,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,62,65,9,55,10,52,1,0,127,0,127,0,0,0
2021,Sudeste,3,MG,31,Piracema,3150604,31287199,CRECHE MUNICIPAL PROFESSORA LUCIA EMILIA DE ANDRADE LARA,3,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,34,27,9,23,4,25,0,0,61,61,0,0,0,0
2021,Sudeste,3,MG,31,Piracema,3150604,31292346,ESC ESP DONA LAURA MATA DE ANDRADE,4,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,17,30,6,24,5,12,0,0,47,7,1,7,0,0
